CD_MUN,NM_MUN,UF,year,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1200013,Acrelândia,AC,2001,2043.07,1177.11,31.38,21.3,85.86,0.49,0.51,5700.57
1200013,Acrelândia,AC,2002,1915.9,1230.96,31.48,21.59,84.72,0.53,0.58,5950.97
1200013,Acrelândia,AC,2003,1952.9,1209.77,31.72,21.08,83.94,0.55,0.62,5806.61
1200013,Acrelândia,AC,2004,1956.53,1161.96,31.34,21.17,84.35,0.54,0.65,5529.76
1200013,Acrelândia,AC,2005,1760.58,1228.14,32.02,21.05,82.11,0.62,0.68,5816.03
1200013,Acrelândia,AC,2006,2011.36,1205.93,31.79,21.2,83.2,0.58,0.68,5741.1
1200013,Acrelândia,AC,2007,1905.49,1244.26,31.8,21.15,82.05,0.62,0.7,5926.46
1200013,Acrelândia,AC,2008,1520.9,1244.26,31.04,21.1,82.34,0.61,0.86,5905.83
1200013,Acrelândia,AC,2009,1926.5,1236.69,31.1,21.54,83.62,0.57,0.87,5851.53
1200013,Acrelândia,AC,2010,1669.82,1272.87,31.86,21.2,79.69,0.71,0.89,5898.5
1200013,Acrelândia,AC,2011,1641.39,1278.71,31.52,21.33,80.92,0.66,0.79,6087.79
1200013,Acrelândia,AC,2012,1630.06,1299.74,31.42,21.25,81.83,0.63,0.84,6203.66
1200013,Acrelândia,AC,2013,1753.29,1291.61,31.52,21.48,82.23,0.62,0.9,6112.92
1200013,Acrelândia,AC,2014,2244.01,1239.91,31.45,21.68,83.09,0.59,0.84,5838.49
1200013,Acrelândia,AC,2015,1643.26,1265.15,32.13,22.16,82.78,0.63,0.82,5855.93
1200013,Acrelândia,AC,2016,1603.68,1323.03,32.41,21.65,81.35,0.67,0.79,6225.81
1200013,Acrelândia,AC,2017,2074.56,1261.61,32.03,21.68,82.61,0.62,0.77,5930.08
1200013,Acrelândia,AC,2018,2161.39,1234.03,31.65,21.45,82.56,0.61,0.84,5779.12
1200013,Acrelândia,AC,2019,2424.43,1244.31,32.32,21.81,82.77,0.62,0.7,5836.92
