CD_MUN,NM_MUN,UF,year,month,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1200013,Acrelândia,AC,2001,1,345.19,95.4,30.13,22.19,89.13,0.37,0.51,448.75
1200013,Acrelândia,AC,2001,2,312.96,85.17,30.16,22.45,88.82,0.39,0.51,399.91
1200013,Acrelândia,AC,2001,3,268.58,89.52,30.6,22.23,88.65,0.39,0.5,416.87
1200013,Acrelândia,AC,2001,4,197.79,96.07,31.33,22.2,87.89,0.43,0.53,465.46
1200013,Acrelândia,AC,2001,5,54.1,86.85,30.16,20.75,88.77,0.37,0.58,437.76
1200013,Acrelândia,AC,2001,6,75.98,81.12,29.6,17.58,85.39,0.43,0.5,440.17
1200013,Acrelândia,AC,2001,7,72.59,89.82,30.7,19.28,85.57,0.46,0.36,475.3
1200013,Acrelândia,AC,2001,8,12.72,112.55,33.96,19.28,77.56,0.78,0.39,569.55
1200013,Acrelândia,AC,2001,9,100.6,106.71,33.46,21.12,82.53,0.64,0.48,503.32
1200013,Acrelândia,AC,2001,10,135.02,121.4,33.43,22.35,82.33,0.67,0.62,559.03
1200013,Acrelândia,AC,2001,11,198.31,111.11,32.17,23.68,85.88,0.54,0.59,511.96
1200013,Acrelândia,AC,2001,12,269.24,101.39,30.83,22.62,88.04,0.42,0.52,472.47
1200013,Acrelândia,AC,2002,1,263.22,108.45,31.22,22.83,87.31,0.46,0.54,507.82
1200013,Acrelândia,AC,2002,2,299.65,91.72,30.86,22.85,87.94,0.43,0.63,425.52
1200013,Acrelândia,AC,2002,3,213.57,103.28,30.83,22.62,87.97,0.42,0.66,488.81
1200013,Acrelândia,AC,2002,4,227.41,96.27,30.86,22.22,87.85,0.42,0.56,467.35
1200013,Acrelândia,AC,2002,5,94.44,95.45,31.06,21.77,86.8,0.46,0.4,482.84
1200013,Acrelândia,AC,2002,6,15.8,91.61,29.85,19.2,83.77,0.5,0.63,493.9
1200013,Acrelândia,AC,2002,7,19.6,94.89,30.9,19.42,80.94,0.62,0.65,488.5
1200013,Acrelândia,AC,2002,8,70.17,106.71,33.33,20.28,80.75,0.68,0.49,526.04
1200013,Acrelândia,AC,2002,9,72.11,112.96,32.84,21.05,79.93,0.72,0.56,540.39
1200013,Acrelândia,AC,2002,10,175.15,122.63,33.24,22.32,81.89,0.68,0.66,567.98
1200013,Acrelândia,AC,2002,11,189.93,110.19,32.2,21.73,83.82,0.58,0.62,514.0
1200013,Acrelândia,AC,2002,12,274.85,96.78,30.54,22.87,87.88,0.43,0.57,447.81
1200013,Acrelândia,AC,2003,1,266.77,104.56,31.64,22.88,86.18,0.5,0.58,480.49
1200013,Acrelândia,AC,2003,2,243.24,90.8,30.69,22.07,86.43,0.47,0.66,422.69
1200013,Acrelândia,AC,2003,3,331.89,94.99,30.59,22.44,87.54,0.44,0.62,441.84
1200013,Acrelândia,AC,2003,4,221.09,91.2,30.96,21.86,87.05,0.45,0.62,437.97
1200013,Acrelândia,AC,2003,5,78.4,92.48,31.15,21.36,85.51,0.5,0.56,460.06
1200013,Acrelândia,AC,2003,6,34.84,87.98,31.69,20.44,84.66,0.52,0.49,451.48
1200013,Acrelândia,AC,2003,7,7.87,102.67,32.02,17.76,79.25,0.66,0.58,544.89
1200013,Acrelândia,AC,2003,8,61.86,102.93,31.62,18.08,78.33,0.68,0.62,518.19
1200013,Acrelândia,AC,2003,9,174.35,105.23,33.09,19.77,79.45,0.71,0.62,496.88
1200013,Acrelândia,AC,2003,10,139.95,114.85,32.78,21.65,82.8,0.63,0.65,531.54
1200013,Acrelândia,AC,2003,11,121.16,109.43,32.41,22.06,84.86,0.55,0.79,500.02
