CD_MUN,NM_MUN,UF,year,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1300029,Alvarães,AM,2001,3179.16,1276.81,32.55,22.41,86.48,0.5,0.82,5944.21
1300029,Alvarães,AM,2002,3033.3,1286.33,32.74,22.98,86.14,0.53,0.54,6035.64
1300029,Alvarães,AM,2003,2940.15,1363.26,33.03,23.3,84.91,0.58,0.65,6346.83
1300029,Alvarães,AM,2004,2982.82,1324.0,32.68,23.08,85.71,0.54,0.71,6176.33
1300029,Alvarães,AM,2005,2880.57,1308.7,33.08,23.28,84.74,0.59,0.71,6027.47
1300029,Alvarães,AM,2006,3405.58,1260.13,32.8,23.14,85.05,0.57,0.66,5810.85
1300029,Alvarães,AM,2007,2844.73,1312.64,33.05,22.99,83.7,0.62,0.69,6055.27
1300029,Alvarães,AM,2008,2728.39,1276.46,32.63,22.79,85.34,0.55,0.74,5911.64
1300029,Alvarães,AM,2009,3028.67,1305.22,32.72,23.28,84.17,0.61,0.76,5997.94
1300029,Alvarães,AM,2010,2148.81,1329.58,33.1,23.55,83.61,0.64,0.69,6098.47
1300029,Alvarães,AM,2011,2120.54,1310.95,32.75,22.52,83.12,0.63,0.66,6119.21
1300029,Alvarães,AM,2012,2255.9,1303.22,32.74,22.37,83.61,0.62,0.66,6074.7
1300029,Alvarães,AM,2013,3294.55,1351.44,32.83,23.21,83.2,0.64,0.68,6273.62
1300029,Alvarães,AM,2014,2863.93,1345.04,32.79,23.38,83.33,0.64,0.71,6222.57
1300029,Alvarães,AM,2015,2267.9,1384.81,33.38,23.36,82.47,0.69,0.71,6376.99
1300029,Alvarães,AM,2016,2107.96,1303.84,32.63,23.69,83.77,0.63,0.7,6001.96
1300029,Alvarães,AM,2017,2448.36,1319.76,32.53,23.36,83.66,0.62,0.68,6136.33
1300029,Alvarães,AM,2018,2345.89,1282.7,32.44,23.06,85.58,0.54,0.66,5983.96
1300029,Alvarães,AM,2019,2905.4,1314.69,32.46,23.14,84.58,0.58,0.6,6167.9
1300029,Alvarães,AM,2020,2856.66,1271.54,32.75,22.96,84.7,0.58,0.57,5923.26
1300029,Alvarães,AM,2021,3263.12,1215.3,32.05,23.26,83.81,0.61,0.55,5649.36
1300029,Alvarães,AM,2022,2791.03,1250.66,32.54,22.26,83.5,0.61,0.53,5869.13
1300029,Alvarães,AM,2023,2612.21,1258.29,32.98,22.24,83.08,0.64,0.51,5861.9
1300029,Alvarães,AM,2024,698.32,274.69,33.09,22.59,83.63,0.62,0.56,1249.77
1300060,Amaturá,AM,2001,2195.35,1245.13,32.66,22.32,87.83,0.45,0.61,5845.25
1300060,Amaturá,AM,2002,2261.32,1251.38,32.75,22.66,86.46,0.51,0.53,5864.57
1300060,Amaturá,AM,2003,2350.17,1272.21,32.89,22.93,86.17,0.53,0.56,5929.92
1300060,Amaturá,AM,2004,2524.38,1254.3,32.73,22.54,86.72,0.5,0.61,5850.06
1300060,Amaturá,AM,2005,2465.46,1277.84,33.39,22.69,85.59,0.55,0.62,5907.3
1300060,Amaturá,AM,2006,2617.63,1248.61,32.86,22.79,86.42,0.51,0.58,5811.48
1300060,Amaturá,AM,2007,2767.27,1261.77,32.94,22.45,85.53,0.54,0.6,5876.82
1300060,Amaturá,AM,2008,2575.23,1240.17,32.77,22.1,86.55,0.5,0.62,5794.61
1300060,Amaturá,AM,2009,2451.13,1231.72,32.79,22.51,86.1,0.52,0.6,5718.01
1300060,Amaturá,AM,2010,1659.73,1253.78,33.03,22.61,85.06,0.57,0.57,5811.0
1300060,Amaturá,AM,2011,1760.26,1235.61,32.52,22.09,85.3,0.54,0.59,5797.02
1300060,Amaturá,AM,2012,2468.96,1244.47,31.98,22.49,86.87,0.48,0.57,5893.42
1300060,Amaturá,AM,2013,2065.48,1243.09,31.86,22.69,87.02,0.47,0.53,5912.17
1300060,Amaturá,AM,2014,2840.67,1215.76,31.82,22.61,87.51,0.46,0.45,5794.82
1300060,Amaturá,AM,2015,1985.69,1263.51,32.89,22.69,84.67,0.58,0.53,5901.17
1300060,Amaturá,AM,2016,2444.86,1214.22,32.4,22.78,87.17,0.48,0.5,5706.17
1300060,Amaturá,AM,2017,2874.87,1193.29,32.13,22.21,86.42,0.49,0.42,5671.82
1300060,Amaturá,AM,2018,2785.22,1194.0,31.81,22.61,85.95,0.51,0.48,5645.75
1300060,Amaturá,AM,2019,3183.97,1230.8,31.91,22.89,85.74,0.52,0.51,5820.43
1300060,Amaturá,AM,2020,3096.32,1207.0,32.3,22.88,85.83,0.53,0.46,5668.63
1300060,Amaturá,AM,2021,2993.2,1132.38,31.87,22.9,85.26,0.54,0.41,5299.84
1300060,Amaturá,AM,2022,2871.57,1191.6,31.86,22.37,83.21,0.61,0.49,5624.7
1300060,Amaturá,AM,2023,3167.29,1205.88,32.22,22.54,83.45,0.61,0.55,5625.8
1300060,Amaturá,AM,2024,743.91,263.07,32.5,23.03,84.76,0.57,0.59,1193.69
1300086,Anamã,AM,2001,2204.32,1280.6,32.66,22.49,84.87,0.57,0.79,5931.96
1300086,Anamã,AM,2002,2178.61,1322.42,33.13,22.76,83.25,0.64,0.72,6112.92
1300086,Anamã,AM,2003,1874.64,1360.85,33.0,23.5,82.87,0.66,0.82,6232.62
1300086,Anamã,AM,2004,2431.24,1323.95,32.39,23.31,84.38,0.59,0.91,6110.35
1300086,Anamã,AM,2005,2357.04,1344.48,33.01,23.45,82.9,0.66,0.85,6142.14
1300086,Anamã,AM,2006,2946.11,1341.46,32.96,23.16,83.26,0.65,0.83,6154.24
1300086,Anamã,AM,2007,2288.45,1342.48,33.26,22.94,82.97,0.65,0.86,6122.19
1300086,Anamã,AM,2008,2741.66,1296.42,32.01,22.26,84.19,0.58,0.98,6020.81
1300086,Anamã,AM,2009,2715.78,1351.28,31.97,23.83,81.66,0.71,1.07,6112.61
1300086,Anamã,AM,2010,2088.59,1370.99,32.3,23.4,81.42,0.71,1.02,6247.7
1300086,Anamã,AM,2011,2281.52,1335.47,31.83,22.95,81.02,0.7,0.96,6170.42
1300086,Anamã,AM,2012,2202.04,1332.35,31.87,22.84,81.15,0.7,0.93,6154.97
1300086,Anamã,AM,2013,1531.18,1362.95,32.01,22.91,81.01,0.71,0.95,6289.02
1300086,Anamã,AM,2014,1644.19,1358.4,32.2,23.43,80.77,0.73,1.02,6170.58
1300086,Anamã,AM,2015,1372.34,1435.48,32.97,23.88,78.57,0.85,1.04,6390.65
1300086,Anamã,AM,2016,2017.07,1383.89,32.83,23.88,79.77,0.79,1.05,6149.63
1300086,Anamã,AM,2017,2322.85,1352.05,32.65,23.36,81.01,0.73,1.0,6089.68
1300086,Anamã,AM,2018,2022.46,1337.26,32.72,23.3,81.98,0.69,0.91,6073.97
1300086,Anamã,AM,2019,2131.03,1307.47,32.38,23.73,81.73,0.7,0.9,5915.62
1300086,Anamã,AM,2020,2045.85,1259.52,32.65,23.66,81.66,0.71,0.88,5617.42
1300086,Anamã,AM,2021,2552.98,1215.65,31.77,23.56,83.62,0.62,0.96,5485.68
1300086,Anamã,AM,2022,1993.01,1225.02,32.08,23.47,81.63,0.7,0.96,5448.76
1300086,Anamã,AM,2023,2308.24,1222.51,32.95,23.85,80.29,0.79,0.89,5259.32
1300086,Anamã,AM,2024,607.03,261.18,33.0,23.83,83.76,0.64,0.92,1119.7
1300102,Anori,AM,2001,2190.07,1269.29,32.81,22.55,85.15,0.56,0.8,5860.49
1300102,Anori,AM,2002,2361.11,1316.02,33.28,22.81,83.37,0.64,0.66,6095.64
1300102,Anori,AM,2003,1908.96,1359.11,33.15,23.6,83.16,0.66,0.76,6242.36
1300102,Anori,AM,2004,2402.69,1322.01,32.52,23.39,84.26,0.6,0.88,6092.92
1300102,Anori,AM,2005,2285.18,1353.18,33.13,23.52,82.54,0.68,0.81,6192.41
1300102,Anori,AM,2006,2662.41,1336.8,33.09,23.21,83.27,0.65,0.81,6126.12
1300102,Anori,AM,2007,2228.34,1342.99,33.41,22.96,82.8,0.66,0.85,6116.69
1300102,Anori,AM,2008,2519.28,1301.33,32.17,22.22,83.96,0.59,0.97,6041.08
1300102,Anori,AM,2009,2814.34,1353.43,32.06,23.87,82.18,0.69,1.01,6175.29
1300102,Anori,AM,2010,2358.34,1357.78,32.43,23.38,81.86,0.69,0.94,6226.34
1300102,Anori,AM,2011,2517.86,1332.14,31.93,22.92,82.36,0.65,0.87,6229.01
1300102,Anori,AM,2012,2690.09,1316.58,31.98,22.78,81.65,0.68,0.87,6105.64
1300102,Anori,AM,2013,1906.24,1352.77,32.12,22.85,81.77,0.68,0.88,6280.54
1300102,Anori,AM,2014,2165.03,1345.19,32.35,23.42,81.94,0.69,0.97,6144.81
1300102,Anori,AM,2015,1936.41,1407.68,33.12,23.84,79.82,0.8,1.0,6290.59
1300102,Anori,AM,2016,1950.54,1342.28,32.98,23.8,81.75,0.71,0.97,6015.0
1300102,Anori,AM,2017,2261.05,1342.53,32.87,23.26,82.45,0.67,0.91,6118.74
1300102,Anori,AM,2018,2098.05,1334.7,32.91,23.24,82.52,0.67,0.85,6096.74
1300102,Anori,AM,2019,2238.75,1304.91,32.52,23.69,83.42,0.64,0.81,5986.0
1300102,Anori,AM,2020,2115.12,1265.35,32.76,23.63,81.89,0.7,0.82,5689.05
1300102,Anori,AM,2021,2630.85,1216.57,31.92,23.58,83.45,0.62,0.89,5502.96
1300102,Anori,AM,2022,2470.62,1243.91,32.19,23.41,81.06,0.72,0.96,5535.32
1300102,Anori,AM,2023,2319.45,1224.51,33.09,23.78,80.39,0.78,0.89,5289.63
1300102,Anori,AM,2024,619.5,257.24,33.22,23.78,83.88,0.64,0.89,1096.61
1300144,Apuí,AM,2001,3045.32,1174.66,31.19,21.44,85.39,0.51,0.41,5678.74
1300144,Apuí,AM,2002,2747.61,1261.41,31.63,21.8,83.1,0.6,0.47,6099.57
