CD_MUN,NM_MUN,UF,year,month,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1300029,Alvarães,AM,2001,1,527.78,96.22,31.36,21.74,89.24,0.38,0.82,447.97
1300029,Alvarães,AM,2001,2,339.4,98.27,31.99,22.08,87.08,0.46,1.06,452.7
1300029,Alvarães,AM,2001,3,401.05,111.52,32.53,22.12,87.78,0.45,0.85,517.56
1300029,Alvarães,AM,2001,4,392.64,102.41,32.5,22.6,86.93,0.49,1.16,466.41
1300029,Alvarães,AM,2001,5,247.99,92.43,31.61,22.5,88.74,0.41,0.82,435.87
1300029,Alvarães,AM,2001,6,186.86,80.0,30.19,21.14,88.18,0.4,0.96,382.36
1300029,Alvarães,AM,2001,7,153.47,103.54,31.89,21.76,86.3,0.49,0.96,499.02
1300029,Alvarães,AM,2001,8,107.76,127.34,34.15,22.41,82.05,0.69,0.68,602.7
1300029,Alvarães,AM,2001,9,170.92,120.38,33.68,22.33,85.41,0.56,0.7,563.8
1300029,Alvarães,AM,2001,10,183.89,124.17,34.16,23.29,84.29,0.63,0.62,567.04
1300029,Alvarães,AM,2001,11,117.87,123.19,34.11,23.7,83.74,0.66,0.66,563.96
1300029,Alvarães,AM,2001,12,349.53,97.35,32.36,23.17,88.07,0.45,0.57,444.83
1300029,Alvarães,AM,2002,1,244.06,108.25,32.76,22.9,87.62,0.47,0.5,504.52
1300029,Alvarães,AM,2002,2,289.91,91.36,31.97,22.96,88.57,0.42,0.57,422.54
1300029,Alvarães,AM,2002,3,291.59,104.31,32.57,23.19,88.18,0.45,0.6,478.6
1300029,Alvarães,AM,2002,4,366.16,100.06,32.18,23.05,88.01,0.45,0.59,468.76
1300029,Alvarães,AM,2002,5,335.33,90.28,31.69,22.88,88.49,0.42,0.45,428.02
1300029,Alvarães,AM,2002,6,169.67,95.96,31.47,22.64,86.59,0.49,0.46,473.32
1300029,Alvarães,AM,2002,7,214.84,103.8,32.68,22.52,85.46,0.54,0.42,505.46
1300029,Alvarães,AM,2002,8,152.71,115.82,33.38,22.6,85.33,0.56,0.6,549.76
1300029,Alvarães,AM,2002,9,136.5,123.24,33.94,22.82,83.88,0.63,0.52,578.72
1300029,Alvarães,AM,2002,10,253.28,127.75,34.08,23.25,82.05,0.71,0.66,583.54
1300029,Alvarães,AM,2002,11,270.42,116.49,33.13,23.12,84.25,0.61,0.55,543.69
1300029,Alvarães,AM,2002,12,308.82,109.02,32.9,23.78,85.43,0.57,0.59,498.71
1300029,Alvarães,AM,2003,1,256.0,135.94,34.31,24.15,82.46,0.72,0.64,623.59
1300029,Alvarães,AM,2003,2,261.67,107.63,33.18,23.71,83.77,0.64,0.71,488.35
1300029,Alvarães,AM,2003,3,354.2,107.63,32.67,23.28,86.25,0.53,0.64,491.48
1300029,Alvarães,AM,2003,4,379.73,105.07,32.51,23.39,86.86,0.5,0.62,489.65
1300029,Alvarães,AM,2003,5,377.87,97.76,31.9,23.36,87.9,0.45,0.54,465.09
1300029,Alvarães,AM,2003,6,286.26,95.09,32.07,22.95,88.06,0.44,0.59,458.71
1300029,Alvarães,AM,2003,7,166.11,106.81,32.39,22.79,85.88,0.53,0.66,515.99
1300029,Alvarães,AM,2003,8,151.25,118.43,33.0,22.64,84.09,0.6,0.61,565.94
1300029,Alvarães,AM,2003,9,141.67,123.55,33.62,22.93,82.3,0.69,0.78,572.44
1300029,Alvarães,AM,2003,10,180.45,120.94,33.56,23.55,84.39,0.62,0.62,552.9
1300029,Alvarães,AM,2003,11,142.19,122.17,33.72,23.58,83.19,0.67,0.72,560.19
1300029,Alvarães,AM,2003,12,242.74,122.22,33.4,23.35,83.69,0.63,0.73,562.49
1300029,Alvarães,AM,2004,1,320.3,111.93,32.44,23.15,86.36,0.51,1.01,511.28
1300029,Alvarães,AM,2004,2,338.71,100.31,32.44,23.41,86.48,0.51,0.73,456.09
1300029,Alvarães,AM,2004,3,394.42,107.99,32.46,23.57,87.64,0.47,0.59,497.92
1300029,Alvarães,AM,2004,4,254.17,105.23,32.43,23.56,85.97,0.54,0.58,490.75
1300029,Alvarães,AM,2004,5,241.19,90.03,31.15,23.13,87.68,0.45,0.68,422.68
1300029,Alvarães,AM,2004,6,211.18,96.27,31.47,22.45,86.82,0.47,0.65,472.06
1300029,Alvarães,AM,2004,7,223.64,102.62,32.18,22.27,86.03,0.51,0.62,497.14
1300029,Alvarães,AM,2004,8,184.82,124.37,33.42,22.59,83.77,0.61,0.67,593.75
1300029,Alvarães,AM,2004,9,184.77,117.72,33.62,22.67,83.92,0.62,0.65,546.99
1300029,Alvarães,AM,2004,10,191.5,132.1,34.01,23.56,83.46,0.67,0.72,605.68
1300029,Alvarães,AM,2004,11,195.39,115.87,33.35,23.31,84.88,0.59,0.86,528.45
1300029,Alvarães,AM,2004,12,242.75,119.56,33.17,23.35,85.5,0.56,0.77,553.53
1300029,Alvarães,AM,2005,1,259.16,121.25,33.7,23.75,84.75,0.6,0.74,550.23
1300029,Alvarães,AM,2005,2,286.99,89.41,31.88,23.54,87.06,0.49,0.7,404.31
1300029,Alvarães,AM,2005,3,393.49,102.0,32.36,23.56,87.17,0.49,0.65,462.58
1300029,Alvarães,AM,2005,4,421.67,99.91,32.9,23.65,86.92,0.5,0.67,456.04
1300029,Alvarães,AM,2005,5,265.55,98.93,32.56,23.62,85.66,0.55,0.58,459.28
1300029,Alvarães,AM,2005,6,233.75,101.65,33.05,23.27,84.07,0.61,0.67,480.7
1300029,Alvarães,AM,2005,7,99.8,107.12,32.59,22.21,83.54,0.61,0.73,513.32
1300029,Alvarães,AM,2005,8,112.39,123.91,34.24,22.8,80.7,0.75,0.59,582.12
1300029,Alvarães,AM,2005,9,113.96,118.13,33.55,22.72,82.34,0.69,0.69,544.79
1300029,Alvarães,AM,2005,10,227.9,126.37,33.79,23.2,83.29,0.66,0.84,575.99
1300029,Alvarães,AM,2005,11,211.97,114.65,33.32,23.64,85.17,0.58,0.87,520.6
1300029,Alvarães,AM,2005,12,253.93,105.38,32.94,23.45,86.37,0.52,0.73,477.5
1300029,Alvarães,AM,2006,1,402.11,108.15,32.57,23.2,85.93,0.53,0.76,494.62
1300029,Alvarães,AM,2006,2,437.76,89.06,32.43,23.58,87.42,0.48,0.66,401.49
1300029,Alvarães,AM,2006,3,363.56,104.41,32.65,23.35,87.22,0.49,0.59,476.87
1300029,Alvarães,AM,2006,4,326.59,92.43,32.39,23.27,86.21,0.52,0.64,417.87
1300029,Alvarães,AM,2006,5,321.93,82.25,30.86,22.79,88.0,0.43,0.6,384.35
1300029,Alvarães,AM,2006,6,164.39,100.88,32.64,22.88,85.21,0.55,0.62,486.36
