CD_MUN,NM_MUN,UF,year,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1600055,Serra do Navio,AP,2001,2863.71,1494.64,30.76,22.93,81.43,0.67,1.53,6918.31
1600055,Serra do Navio,AP,2002,3266.94,1517.98,31.01,22.92,81.35,0.67,1.76,6956.01
1600055,Serra do Navio,AP,2003,3053.48,1504.93,31.02,22.9,80.78,0.69,1.63,6916.74
1600055,Serra do Navio,AP,2004,2852.54,1523.71,31.11,22.94,80.33,0.71,1.67,6921.08
1600055,Serra do Navio,AP,2005,2845.38,1517.32,31.27,23.39,80.25,0.73,1.67,6830.02
1600055,Serra do Navio,AP,2006,2752.12,1464.34,30.88,23.02,81.11,0.68,1.55,6698.23
1600055,Serra do Navio,AP,2007,3099.77,1479.24,31.02,23.21,80.86,0.69,1.68,6708.13
1600055,Serra do Navio,AP,2008,3056.83,1448.68,30.94,22.9,81.4,0.67,1.49,6637.38
1600055,Serra do Navio,AP,2009,3562.88,1427.39,31.03,22.58,81.68,0.66,1.5,6502.66
1600055,Serra do Navio,AP,2010,2691.2,1344.22,31.54,22.43,83.84,0.58,1.04,6260.43
1600055,Serra do Navio,AP,2011,2896.04,1357.12,31.2,21.92,83.4,0.59,1.08,6380.6
1600055,Serra do Navio,AP,2012,2324.74,1364.59,31.36,21.79,82.32,0.63,1.07,6365.46
1600055,Serra do Navio,AP,2013,2266.52,1332.91,31.22,22.12,83.0,0.6,1.12,6190.37
1600055,Serra do Navio,AP,2014,2761.4,1360.7,31.06,22.2,82.08,0.64,1.16,6297.66
1600055,Serra do Navio,AP,2015,2302.55,1427.95,31.66,22.37,80.25,0.71,1.3,6472.81
1600055,Serra do Navio,AP,2016,2459.32,1396.37,31.43,22.75,81.7,0.66,1.05,6483.28
1600055,Serra do Navio,AP,2017,2642.85,1415.06,31.29,22.72,80.41,0.71,1.22,6436.21
1600055,Serra do Navio,AP,2018,3067.44,1360.29,30.7,22.51,79.93,0.71,1.02,6343.84
1600055,Serra do Navio,AP,2019,2690.06,1394.58,31.17,22.83,79.94,0.73,1.04,6442.18
1600055,Serra do Navio,AP,2020,2525.94,1425.91,31.47,22.94,80.78,0.7,1.06,6619.63
1600055,Serra do Navio,AP,2021,3186.63,1384.24,31.24,23.1,81.87,0.66,1.16,6366.46
1600055,Serra do Navio,AP,2022,3512.09,1392.28,31.22,22.67,82.41,0.64,1.15,6482.24
1600055,Serra do Navio,AP,2023,2760.47,1456.36,31.87,23.06,81.09,0.71,1.24,6623.61
1600055,Serra do Navio,AP,2024,829.42,265.12,30.85,23.19,87.27,0.46,1.04,1232.33
1600105,Amapá,AP,2001,4176.5,1486.66,31.7,23.82,82.8,0.65,1.29,6864.11
1600105,Amapá,AP,2002,4150.6,1497.3,31.94,23.84,82.72,0.66,1.51,6823.74
1600105,Amapá,AP,2003,4018.66,1493.87,31.99,23.72,81.71,0.69,1.5,6769.23
1600105,Amapá,AP,2004,3458.13,1532.67,32.12,23.8,81.71,0.7,1.56,6905.84
1600105,Amapá,AP,2005,3559.24,1528.06,32.33,24.26,81.36,0.72,1.52,6841.02
1600105,Amapá,AP,2006,3511.12,1471.15,31.9,23.94,81.97,0.69,1.38,6689.12
1600105,Amapá,AP,2007,4311.2,1479.8,31.98,24.12,82.13,0.68,1.51,6667.75
1600105,Amapá,AP,2008,4112.6,1471.51,31.8,24.11,82.04,0.69,1.32,6702.41
1600105,Amapá,AP,2009,4081.39,1433.38,31.85,24.02,81.87,0.69,1.31,6448.3
1600105,Amapá,AP,2010,3773.12,1397.96,32.08,23.07,82.8,0.64,1.26,6343.68
1600105,Amapá,AP,2011,3773.16,1406.71,31.87,22.51,82.84,0.63,1.24,6468.88
1600105,Amapá,AP,2012,3437.76,1432.3,32.13,22.43,81.4,0.68,1.3,6484.53
1600105,Amapá,AP,2013,3197.35,1410.5,31.98,22.71,81.7,0.67,1.42,6304.1
1600105,Amapá,AP,2014,3704.1,1411.68,31.9,22.97,81.65,0.68,1.4,6315.88
1600105,Amapá,AP,2015,3469.19,1484.66,32.7,23.02,79.77,0.77,1.43,6510.2
1600105,Amapá,AP,2016,2951.16,1449.6,32.19,23.64,81.01,0.72,1.3,6509.98
1600105,Amapá,AP,2017,3608.49,1435.17,32.36,23.32,80.75,0.73,1.23,6383.27
1600105,Amapá,AP,2018,4892.85,1418.18,31.48,23.47,79.63,0.76,1.24,6388.14
1600105,Amapá,AP,2019,3588.16,1471.87,31.93,23.97,79.67,0.78,1.33,6543.66
