CD_MUN,NM_MUN,UF,year,month,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1600055,Serra do Navio,AP,2001,1,441.39,98.22,28.95,22.13,86.87,0.43,1.19,475.15
1600055,Serra do Navio,AP,2001,2,397.83,89.16,28.8,21.98,87.85,0.4,1.09,431.8
1600055,Serra do Navio,AP,2001,3,410.78,104.15,29.45,22.68,86.68,0.45,1.23,494.31
1600055,Serra do Navio,AP,2001,4,400.04,93.15,29.33,22.78,88.22,0.4,1.0,443.79
1600055,Serra do Navio,AP,2001,5,385.93,116.85,30.51,23.25,84.87,0.54,1.25,560.44
1600055,Serra do Navio,AP,2001,6,305.44,104.15,30.0,22.54,86.15,0.47,1.17,510.7
1600055,Serra do Navio,AP,2001,7,165.47,128.31,30.95,22.8,81.33,0.66,1.34,620.92
1600055,Serra do Navio,AP,2001,8,108.44,152.11,31.99,23.28,77.47,0.83,1.69,709.05
1600055,Serra do Navio,AP,2001,9,49.31,152.42,32.26,23.2,75.1,0.93,1.86,686.8
1600055,Serra do Navio,AP,2001,10,57.26,158.1,32.32,23.22,74.32,0.96,1.99,700.72
1600055,Serra do Navio,AP,2001,11,52.46,149.24,32.34,23.39,73.31,1.0,1.99,655.07
1600055,Serra do Navio,AP,2001,12,89.36,148.78,32.11,23.79,75.49,0.93,2.52,629.56
1600055,Serra do Navio,AP,2002,1,348.97,109.78,30.14,22.6,84.28,0.55,1.52,511.9
1600055,Serra do Navio,AP,2002,2,497.57,101.39,29.92,22.56,85.62,0.49,1.68,477.52
1600055,Serra do Navio,AP,2002,3,508.06,102.11,29.78,22.56,87.52,0.43,1.32,478.44
1600055,Serra do Navio,AP,2002,4,554.35,99.09,29.95,22.73,87.43,0.43,1.33,466.72
1600055,Serra do Navio,AP,2002,5,432.09,110.19,30.31,23.17,85.79,0.5,1.4,522.59
1600055,Serra do Navio,AP,2002,6,296.52,112.5,30.88,22.66,83.92,0.57,1.26,540.39
1600055,Serra do Navio,AP,2002,7,110.53,134.91,31.15,23.15,80.26,0.71,1.72,637.73
1600055,Serra do Navio,AP,2002,8,94.14,150.42,31.7,23.17,78.02,0.8,1.96,695.54
1600055,Serra do Navio,AP,2002,9,64.58,159.22,32.49,23.1,74.55,0.95,2.27,702.51
1600055,Serra do Navio,AP,2002,10,15.0,162.5,32.15,22.91,74.31,0.94,2.5,707.32
1600055,Serra do Navio,AP,2002,11,57.32,150.88,32.44,23.16,74.83,0.94,2.2,662.14
1600055,Serra do Navio,AP,2002,12,287.82,124.98,31.2,23.2,79.97,0.73,1.96,553.22
1600055,Serra do Navio,AP,2003,1,431.5,128.16,30.62,22.88,80.53,0.69,2.06,581.34
1600055,Serra do Navio,AP,2003,2,596.56,83.43,28.85,22.39,88.95,0.37,1.39,396.14
1600055,Serra do Navio,AP,2003,3,228.44,104.0,29.6,22.53,86.06,0.47,1.54,483.78
1600055,Serra do Navio,AP,2003,4,573.47,104.36,29.9,22.82,86.55,0.46,1.24,497.35
1600055,Serra do Navio,AP,2003,5,330.98,112.39,30.66,22.95,84.25,0.56,1.33,528.24
1600055,Serra do Navio,AP,2003,6,232.66,114.7,30.83,22.76,82.51,0.62,1.24,550.45
1600055,Serra do Navio,AP,2003,7,223.63,125.6,31.05,22.44,80.73,0.68,1.25,604.27
1600055,Serra do Navio,AP,2003,8,76.61,148.43,31.92,23.03,77.29,0.83,1.7,686.43
1600055,Serra do Navio,AP,2003,9,99.01,151.19,32.32,23.2,75.42,0.92,1.91,677.22
1600055,Serra do Navio,AP,2003,10,20.27,150.88,32.14,23.22,75.01,0.93,1.89,667.26
1600055,Serra do Navio,AP,2003,11,70.91,143.51,32.4,23.38,75.31,0.93,2.07,625.06
1600055,Serra do Navio,AP,2003,12,169.44,138.29,31.79,23.13,77.41,0.83,1.9,619.19
1600055,Serra do Navio,AP,2004,1,218.5,116.33,30.54,22.83,81.5,0.65,1.37,539.24
1600055,Serra do Navio,AP,2004,2,386.7,85.73,28.9,22.49,88.69,0.38,1.16,407.24
1600055,Serra do Navio,AP,2004,3,564.58,100.72,29.5,22.67,87.67,0.42,1.33,474.67
1600055,Serra do Navio,AP,2004,4,451.02,107.02,30.48,22.9,85.76,0.5,1.25,502.69
1600055,Serra do Navio,AP,2004,5,375.63,108.25,30.9,22.98,83.72,0.58,1.36,495.41
1600055,Serra do Navio,AP,2004,6,247.5,118.43,30.91,22.37,81.57,0.64,1.55,561.29
1600055,Serra do Navio,AP,2004,7,218.73,123.76,30.98,22.27,81.24,0.66,1.4,588.56
1600055,Serra do Navio,AP,2004,8,120.35,145.87,31.52,22.8,78.4,0.78,1.75,682.03
1600055,Serra do Navio,AP,2004,9,109.1,156.41,32.13,23.44,75.34,0.92,2.1,701.25
1600055,Serra do Navio,AP,2004,10,70.08,164.04,32.51,23.49,73.3,1.01,2.25,711.87
1600055,Serra do Navio,AP,2004,11,32.42,156.67,32.65,23.46,72.36,1.05,2.36,668.73
1600055,Serra do Navio,AP,2004,12,57.93,140.49,32.26,23.51,74.73,0.96,2.11,588.09
1600055,Serra do Navio,AP,2005,1,239.69,131.64,31.36,23.62,79.59,0.76,1.84,589.03
1600055,Serra do Navio,AP,2005,2,421.47,97.14,30.08,23.37,85.83,0.5,1.48,449.4
1600055,Serra do Navio,AP,2005,3,464.28,101.8,29.96,23.3,86.47,0.48,1.29,468.39
1600055,Serra do Navio,AP,2005,4,480.25,104.36,30.3,23.52,86.01,0.5,1.31,485.26
1600055,Serra do Navio,AP,2005,5,395.97,103.39,30.31,23.6,85.47,0.52,1.14,483.0
1600055,Serra do Navio,AP,2005,6,161.33,119.35,31.27,23.63,81.4,0.68,1.39,559.71
1600055,Serra do Navio,AP,2005,7,143.38,128.67,31.15,23.15,79.86,0.73,1.4,604.58
1600055,Serra do Navio,AP,2005,8,73.37,150.68,32.04,23.28,76.64,0.87,1.74,691.92
1600055,Serra do Navio,AP,2005,9,32.18,158.81,32.49,23.04,73.78,0.98,2.21,696.69
