CD_MUN,NM_MUN,UF,year,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1500107,Abaetetuba,PA,2001,2542.02,1490.19,32.2,23.21,83.88,0.61,1.41,6889.09
1500107,Abaetetuba,PA,2002,2551.49,1486.09,32.21,23.38,83.57,0.62,1.39,6862.7
1500107,Abaetetuba,PA,2003,2301.06,1494.13,32.31,23.32,82.85,0.65,1.5,6822.33
1500107,Abaetetuba,PA,2004,2618.71,1522.18,32.43,23.27,82.72,0.65,1.58,6925.32
1500107,Abaetetuba,PA,2005,2266.08,1542.8,32.91,23.57,81.88,0.7,1.53,6916.89
1500107,Abaetetuba,PA,2006,2412.05,1496.54,32.43,23.59,82.68,0.66,1.43,6806.46
1500107,Abaetetuba,PA,2007,2211.0,1470.54,32.08,23.49,82.84,0.65,1.52,6697.44
1500107,Abaetetuba,PA,2008,2514.22,1471.15,32.21,23.26,81.5,0.7,1.18,6767.6
1500107,Abaetetuba,PA,2009,2916.35,1464.7,32.28,23.46,81.06,0.72,1.21,6638.54
1500107,Abaetetuba,PA,2010,2381.01,1501.4,32.96,23.88,80.64,0.75,1.11,6829.4
1500107,Abaetetuba,PA,2011,3119.33,1468.59,32.56,23.48,81.15,0.72,1.09,6718.02
1500107,Abaetetuba,PA,2012,2644.57,1474.07,32.5,23.12,79.88,0.76,1.1,6728.96
1500107,Abaetetuba,PA,2013,2647.66,1453.18,32.71,23.44,80.72,0.74,1.13,6581.04
1500107,Abaetetuba,PA,2014,2576.97,1465.16,32.56,23.35,80.53,0.74,1.17,6641.84
1500107,Abaetetuba,PA,2015,2076.99,1498.79,32.89,23.54,79.18,0.81,1.39,6562.35
1500107,Abaetetuba,PA,2016,2186.76,1468.9,33.03,24.03,79.04,0.82,1.14,6537.47
1500107,Abaetetuba,PA,2017,2397.73,1450.17,32.95,23.65,79.3,0.81,1.05,6492.92
1500107,Abaetetuba,PA,2018,3182.42,1400.93,32.69,23.5,81.45,0.71,1.04,6329.39
1500107,Abaetetuba,PA,2019,3157.75,1415.98,32.74,23.67,81.65,0.71,1.05,6416.26
1500107,Abaetetuba,PA,2020,2927.73,1415.26,33.03,23.73,81.13,0.74,0.95,6397.98
1500107,Abaetetuba,PA,2021,3400.66,1338.9,33.0,23.43,84.11,0.61,0.91,6100.2
1500107,Abaetetuba,PA,2022,3407.44,1302.92,33.07,23.46,83.66,0.63,0.87,5899.29
1500107,Abaetetuba,PA,2023,2845.46,1376.31,33.56,23.7,82.49,0.7,0.67,6258.86
1500107,Abaetetuba,PA,2024,1083.59,273.56,32.75,23.74,87.5,0.48,0.79,1240.19
1500131,Abel Figueiredo,PA,2001,2051.64,1413.47,32.49,22.07,76.99,0.85,0.89,6488.83
1500131,Abel Figueiredo,PA,2002,1484.36,1457.69,32.79,22.56,76.12,0.9,0.94,6647.8
1500131,Abel Figueiredo,PA,2003,1704.55,1443.61,32.74,22.67,76.08,0.9,0.99,6530.62
1500131,Abel Figueiredo,PA,2004,1783.46,1438.85,32.78,22.62,75.01,0.94,0.97,6466.63
1500131,Abel Figueiredo,PA,2005,1652.95,1499.56,33.58,23.21,72.37,1.09,1.01,6546.48
1500131,Abel Figueiredo,PA,2006,2036.95,1489.06,32.81,22.75,73.99,0.99,0.97,6707.65
1500131,Abel Figueiredo,PA,2007,1580.53,1477.91,33.16,22.43,73.78,0.99,0.92,6668.22
1500131,Abel Figueiredo,PA,2008,2182.84,1485.48,33.04,22.0,73.4,1.0,0.97,6652.46
1500131,Abel Figueiredo,PA,2009,2067.53,1458.46,32.66,22.12,74.43,0.95,0.98,6600.05
1500131,Abel Figueiredo,PA,2010,1570.85,1489.57,33.38,22.18,72.47,1.04,0.88,6739.54
1500131,Abel Figueiredo,PA,2011,1686.81,1446.12,32.74,21.88,74.78,0.93,0.91,6609.48
1500131,Abel Figueiredo,PA,2012,1725.57,1431.74,32.88,22.0,73.64,0.98,0.9,6454.84
1500131,Abel Figueiredo,PA,2013,2097.79,1427.29,32.67,22.16,76.29,0.88,0.88,6534.86
1500131,Abel Figueiredo,PA,2014,1917.24,1429.8,32.84,21.95,74.94,0.92,0.89,6514.12
1500131,Abel Figueiredo,PA,2015,1338.51,1446.94,33.34,22.31,72.14,1.06,0.82,6501.24
1500131,Abel Figueiredo,PA,2016,1421.2,1427.8,33.5,22.63,73.21,1.03,0.79,6411.33
1500131,Abel Figueiredo,PA,2017,2153.65,1454.26,32.97,21.66,72.94,1.0,0.84,6624.71
1500131,Abel Figueiredo,PA,2018,1947.29,1411.17,32.4,21.54,75.0,0.9,0.85,6533.44
1500131,Abel Figueiredo,PA,2019,1686.28,1393.1,32.56,21.69,75.91,0.87,0.9,6334.26
1500131,Abel Figueiredo,PA,2020,1931.26,1385.57,32.65,21.64,76.28,0.86,0.9,6293.52
1500131,Abel Figueiredo,PA,2021,2091.43,1321.96,32.31,22.18,78.81,0.78,0.7,6144.03
1500131,Abel Figueiredo,PA,2022,1898.47,1315.15,32.61,22.02,76.96,0.85,0.75,6026.06
1500131,Abel Figueiredo,PA,2023,1553.29,1372.63,33.35,22.29,75.22,0.95,0.79,6107.58
1500131,Abel Figueiredo,PA,2024,742.63,285.44,31.82,23.01,83.02,0.63,0.78,1299.57
1500206,Acará,PA,2001,2732.1,1482.36,32.06,23.03,83.84,0.6,1.36,6887.99
1500206,Acará,PA,2002,2585.25,1479.18,32.08,23.2,83.52,0.61,1.35,6866.0
1500206,Acará,PA,2003,2182.57,1485.99,32.16,23.14,82.94,0.64,1.48,6813.69
1500206,Acará,PA,2004,2581.69,1513.48,32.28,23.08,82.6,0.65,1.54,6912.12
1500206,Acará,PA,2005,2426.05,1536.05,32.77,23.4,81.87,0.69,1.51,6919.41
1500206,Acará,PA,2006,2628.54,1492.85,32.29,23.42,82.54,0.66,1.39,6816.2
1500206,Acará,PA,2007,2797.08,1469.56,31.99,23.26,82.31,0.66,1.47,6699.01
1500206,Acará,PA,2008,2738.38,1466.9,32.18,22.77,81.4,0.69,1.12,6799.65
1500206,Acará,PA,2009,3388.49,1444.18,32.22,22.99,81.15,0.71,1.12,6611.2
1500206,Acará,PA,2010,2407.1,1456.15,32.84,23.41,80.85,0.73,1.03,6649.22
1500206,Acará,PA,2011,3172.04,1438.75,32.38,23.17,81.29,0.7,1.06,6602.56
1500206,Acará,PA,2012,2471.49,1432.46,32.37,22.72,80.04,0.74,1.09,6530.09
1500206,Acará,PA,2013,2675.66,1397.14,32.5,23.08,81.43,0.7,1.02,6379.03
1500206,Acará,PA,2014,2618.53,1400.06,32.44,22.96,81.26,0.7,1.1,6355.94
1500206,Acará,PA,2015,2428.22,1458.97,32.84,23.33,78.72,0.82,1.23,6394.27
1500206,Acará,PA,2016,2242.23,1405.33,32.9,23.63,79.0,0.81,1.09,6232.72
1500206,Acará,PA,2017,2534.77,1406.87,32.89,23.17,79.32,0.79,0.98,6316.35
1500206,Acará,PA,2018,3162.07,1365.92,32.47,23.12,82.38,0.66,0.94,6261.21
1500206,Acará,PA,2019,3057.28,1340.59,32.48,23.31,82.87,0.65,0.94,6122.04
1500206,Acará,PA,2020,3120.71,1365.31,32.78,23.39,82.05,0.69,0.87,6225.34
1500206,Acará,PA,2021,2933.3,1328.35,32.67,23.19,83.83,0.61,0.89,6093.13
1500206,Acará,PA,2022,3536.32,1302.66,32.87,23.29,83.26,0.64,0.88,5914.68
1500206,Acará,PA,2023,2701.87,1372.88,33.42,23.4,82.13,0.7,0.8,6162.72
1500206,Acará,PA,2024,1067.27,278.27,32.65,23.61,88.14,0.45,1.02,1260.45
1500305,Afuá,PA,2001,1988.46,1503.44,31.8,23.94,82.59,0.67,1.32,6908.72
1500305,Afuá,PA,2002,1948.82,1520.54,32.12,23.78,82.97,0.65,1.61,6914.22
1500305,Afuá,PA,2003,1882.85,1522.59,32.13,23.83,82.03,0.69,1.51,6923.96
1500305,Afuá,PA,2004,2412.76,1548.59,32.07,23.87,81.71,0.7,1.55,6997.58
1500305,Afuá,PA,2005,2634.24,1543.11,32.18,24.37,81.54,0.72,1.52,6950.98
1500305,Afuá,PA,2006,2675.7,1487.68,31.86,23.81,82.3,0.67,1.39,6808.66
1500305,Afuá,PA,2007,2510.68,1497.2,32.14,24.16,82.07,0.69,1.56,6719.75
1500305,Afuá,PA,2008,2866.59,1512.45,31.88,24.17,81.48,0.72,1.48,6802.32
1500305,Afuá,PA,2009,2564.93,1546.54,32.21,24.35,80.39,0.77,1.63,6777.09
1500305,Afuá,PA,2010,2193.08,1431.64,32.91,24.39,82.77,0.68,0.99,6497.47
1500305,Afuá,PA,2011,2307.89,1427.34,32.49,23.78,82.94,0.66,1.0,6555.44
1500305,Afuá,PA,2012,2015.61,1440.49,32.48,23.64,82.0,0.69,1.03,6589.94
1500305,Afuá,PA,2013,2230.46,1428.31,32.14,23.92,82.61,0.67,1.01,6594.24
1500305,Afuá,PA,2014,2434.4,1442.18,31.81,23.85,81.1,0.72,1.21,6554.97
1500305,Afuá,PA,2015,2098.2,1513.68,32.62,24.11,79.28,0.81,1.26,6746.93
1500305,Afuá,PA,2016,2207.01,1510.1,32.42,24.39,79.12,0.82,1.22,6745.61
1500305,Afuá,PA,2017,2441.16,1438.91,32.05,24.13,80.27,0.76,1.13,6497.0
1500305,Afuá,PA,2018,3005.46,1391.05,31.64,23.84,80.28,0.75,0.98,6373.22
