CD_MUN,NM_MUN,UF,year,month,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1500107,Abaetetuba,PA,2001,1,300.22,100.11,30.79,22.71,89.22,0.38,1.16,472.79
1500107,Abaetetuba,PA,2001,2,297.36,88.54,30.51,22.57,90.35,0.34,0.99,418.92
1500107,Abaetetuba,PA,2001,3,427.0,101.75,30.81,23.07,89.74,0.37,1.1,477.66
1500107,Abaetetuba,PA,2001,4,419.28,96.12,31.22,23.35,89.76,0.37,0.96,451.33
1500107,Abaetetuba,PA,2001,5,249.42,120.12,32.52,23.59,85.85,0.54,1.18,567.51
1500107,Abaetetuba,PA,2001,6,291.63,112.19,32.26,22.92,85.56,0.53,1.21,539.29
1500107,Abaetetuba,PA,2001,7,165.07,129.49,32.43,22.92,83.45,0.61,1.35,623.28
1500107,Abaetetuba,PA,2001,8,38.52,147.4,32.89,23.02,80.67,0.73,1.63,692.55
1500107,Abaetetuba,PA,2001,9,92.65,147.96,32.98,23.1,78.99,0.8,1.76,675.33
1500107,Abaetetuba,PA,2001,10,120.52,154.82,33.25,23.33,78.16,0.84,1.79,694.6
1500107,Abaetetuba,PA,2001,11,40.33,147.81,33.27,23.76,76.93,0.9,1.86,650.04
1500107,Abaetetuba,PA,2001,12,100.02,143.87,33.36,24.13,78.38,0.85,1.84,625.79
1500107,Abaetetuba,PA,2002,1,282.7,106.76,31.54,23.22,86.66,0.49,1.18,489.75
1500107,Abaetetuba,PA,2002,2,212.52,103.23,31.52,23.46,86.67,0.5,1.24,477.2
1500107,Abaetetuba,PA,2002,3,379.51,104.82,31.4,23.27,88.63,0.41,1.1,485.98
1500107,Abaetetuba,PA,2002,4,415.65,99.6,31.29,23.43,88.56,0.42,1.01,465.78
1500107,Abaetetuba,PA,2002,5,330.64,113.62,32.1,23.67,86.63,0.5,1.23,534.84
1500107,Abaetetuba,PA,2002,6,284.27,115.0,32.24,23.13,84.69,0.57,1.2,552.02
1500107,Abaetetuba,PA,2002,7,124.14,130.31,32.3,23.25,83.3,0.62,1.36,627.05
1500107,Abaetetuba,PA,2002,8,125.57,147.71,32.8,23.37,80.59,0.74,1.6,693.81
1500107,Abaetetuba,PA,2002,9,61.94,151.6,33.22,23.28,77.64,0.86,1.8,685.23
1500107,Abaetetuba,PA,2002,10,57.34,150.83,32.77,23.2,77.93,0.83,1.87,674.02
1500107,Abaetetuba,PA,2002,11,85.35,143.26,33.0,23.44,78.37,0.83,1.7,643.29
1500107,Abaetetuba,PA,2002,12,191.85,119.35,32.29,23.79,83.35,0.64,1.44,533.74
1500107,Abaetetuba,PA,2003,1,213.74,123.96,31.84,23.64,83.85,0.61,1.49,565.63
1500107,Abaetetuba,PA,2003,2,402.87,83.83,30.72,23.16,89.75,0.36,1.1,385.93
1500107,Abaetetuba,PA,2003,3,342.47,99.85,30.7,23.27,87.87,0.43,1.25,457.08
1500107,Abaetetuba,PA,2003,4,317.53,99.96,31.67,23.53,87.97,0.45,1.11,461.06
1500107,Abaetetuba,PA,2003,5,219.31,114.03,32.43,23.45,84.95,0.57,1.3,526.36
1500107,Abaetetuba,PA,2003,6,169.3,121.09,32.72,23.25,82.55,0.66,1.34,571.81
1500107,Abaetetuba,PA,2003,7,101.32,133.12,32.72,23.02,80.77,0.72,1.49,624.22
1500107,Abaetetuba,PA,2003,8,65.94,147.5,33.1,23.03,80.42,0.74,1.76,681.56
1500107,Abaetetuba,PA,2003,9,122.44,148.32,32.96,23.18,79.86,0.77,1.83,679.1
1500107,Abaetetuba,PA,2003,10,90.45,146.69,32.74,23.39,78.54,0.81,1.79,654.85
1500107,Abaetetuba,PA,2003,11,81.21,141.87,33.21,23.6,77.51,0.87,1.78,622.24
1500107,Abaetetuba,PA,2003,12,174.48,133.89,32.77,23.34,80.71,0.74,1.73,592.49
1500107,Abaetetuba,PA,2004,1,335.18,106.15,31.42,23.64,85.05,0.56,1.39,472.95
1500107,Abaetetuba,PA,2004,2,462.39,90.69,30.53,23.03,89.45,0.37,1.25,422.32
1500107,Abaetetuba,PA,2004,3,402.69,103.08,30.98,23.41,88.93,0.4,1.25,477.5
1500107,Abaetetuba,PA,2004,4,381.99,112.19,32.26,23.49,86.56,0.51,1.38,516.83
1500107,Abaetetuba,PA,2004,5,164.05,122.43,33.07,23.74,83.22,0.65,1.48,553.22
1500107,Abaetetuba,PA,2004,6,123.84,121.61,32.49,22.86,82.36,0.66,1.48,573.7
1500107,Abaetetuba,PA,2004,7,179.51,124.27,32.3,22.88,82.63,0.64,1.45,584.48
1500107,Abaetetuba,PA,2004,8,157.93,141.77,32.7,22.92,81.48,0.69,1.73,659.88
1500107,Abaetetuba,PA,2004,9,100.79,151.14,33.05,23.19,79.38,0.79,1.89,690.57
1500107,Abaetetuba,PA,2004,10,111.16,158.0,33.29,23.21,78.41,0.83,1.93,709.2
1500107,Abaetetuba,PA,2004,11,34.85,152.88,33.74,23.33,76.67,0.91,1.95,669.05
