CD_MUN,NM_MUN,UF,year,month,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1100015,Alta Floresta D'Oeste,RO,2001,1,300.59,103.74,30.42,21.83,86.26,0.47,0.6,487.4
1100015,Alta Floresta D'Oeste,RO,2001,2,248.9,98.06,31.21,21.89,85.93,0.49,0.54,462.44
1100015,Alta Floresta D'Oeste,RO,2001,3,228.28,99.09,31.11,21.94,85.51,0.5,0.59,464.31
1100015,Alta Floresta D'Oeste,RO,2001,4,115.24,102.26,31.79,22.09,82.52,0.62,0.59,493.27
1100015,Alta Floresta D'Oeste,RO,2001,5,56.07,87.57,30.73,20.75,86.61,0.45,0.62,441.84
1100015,Alta Floresta D'Oeste,RO,2001,6,41.55,82.04,29.84,17.89,78.24,0.65,0.62,437.03
1100015,Alta Floresta D'Oeste,RO,2001,7,14.63,94.38,31.76,19.25,76.81,0.76,0.63,481.27
1100015,Alta Floresta D'Oeste,RO,2001,8,8.97,113.31,34.22,18.53,66.19,1.16,0.59,558.87
1100015,Alta Floresta D'Oeste,RO,2001,9,129.46,107.58,33.18,20.97,74.58,0.91,0.63,497.35
1100015,Alta Floresta D'Oeste,RO,2001,10,192.96,120.84,33.07,21.7,78.84,0.78,0.54,561.7
1100015,Alta Floresta D'Oeste,RO,2001,11,270.57,112.55,32.59,22.52,82.3,0.66,0.58,515.89
1100015,Alta Floresta D'Oeste,RO,2001,12,320.58,102.87,31.18,22.24,86.75,0.47,0.55,475.77
1100015,Alta Floresta D'Oeste,RO,2002,1,277.03,121.3,31.61,22.33,86.77,0.47,0.56,573.95
1100015,Alta Floresta D'Oeste,RO,2002,2,324.18,95.15,31.09,22.39,87.51,0.44,0.61,442.8
1100015,Alta Floresta D'Oeste,RO,2002,3,215.92,116.44,32.03,22.24,85.86,0.51,0.61,554.95
1100015,Alta Floresta D'Oeste,RO,2002,4,202.07,105.38,32.32,21.87,86.31,0.49,0.61,509.6
1100015,Alta Floresta D'Oeste,RO,2002,5,81.36,95.71,31.74,21.14,84.7,0.53,0.46,485.67
1100015,Alta Floresta D'Oeste,RO,2002,6,0.86,92.43,31.41,18.39,81.61,0.58,0.71,490.75
1100015,Alta Floresta D'Oeste,RO,2002,7,30.62,95.45,32.4,18.7,77.9,0.73,0.62,486.46
1100015,Alta Floresta D'Oeste,RO,2002,8,69.4,107.94,34.17,19.74,74.0,0.93,0.54,525.88
1100015,Alta Floresta D'Oeste,RO,2002,9,44.92,112.91,33.57,20.44,73.83,0.93,0.67,523.27
1100015,Alta Floresta D'Oeste,RO,2002,10,133.36,129.08,33.95,22.18,75.54,0.94,0.58,594.37
1100015,Alta Floresta D'Oeste,RO,2002,11,189.88,122.43,32.97,22.4,79.15,0.78,0.63,563.64
1100015,Alta Floresta D'Oeste,RO,2002,12,297.3,110.7,31.9,22.47,82.59,0.63,0.57,508.6
1100015,Alta Floresta D'Oeste,RO,2003,1,262.24,109.53,31.57,22.86,83.68,0.59,0.57,502.48
1100015,Alta Floresta D'Oeste,RO,2003,2,281.81,99.29,31.51,21.99,83.01,0.6,0.63,460.24
1100015,Alta Floresta D'Oeste,RO,2003,3,415.71,100.37,31.46,22.16,84.14,0.56,0.61,463.84
1100015,Alta Floresta D'Oeste,RO,2003,4,207.76,99.19,32.03,21.52,81.8,0.64,0.61,474.73
1100015,Alta Floresta D'Oeste,RO,2003,5,77.31,96.83,31.9,20.25,78.19,0.74,0.73,475.62
1100015,Alta Floresta D'Oeste,RO,2003,6,31.45,92.94,32.08,18.66,72.14,0.9,0.89,453.68
1100015,Alta Floresta D'Oeste,RO,2003,7,2.23,111.32,32.3,16.99,64.31,1.12,1.04,540.65
1100015,Alta Floresta D'Oeste,RO,2003,8,39.87,124.42,32.66,18.09,60.57,1.29,1.31,536.25
1100015,Alta Floresta D'Oeste,RO,2003,9,142.64,114.19,33.37,20.05,68.19,1.14,1.06,489.18
1100015,Alta Floresta D'Oeste,RO,2003,10,115.45,124.11,32.74,22.04,75.45,0.9,1.13,535.31
1100015,Alta Floresta D'Oeste,RO,2003,11,132.47,115.67,32.04,22.09,79.45,0.75,1.05,515.1
1100015,Alta Floresta D'Oeste,RO,2003,12,226.85,120.74,32.61,22.7,80.8,0.72,0.77,547.09
1100015,Alta Floresta D'Oeste,RO,2004,1,315.26,104.56,31.41,23.01,84.21,0.57,0.78,470.12
