CD_MUN,NM_MUN,UF,year,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1400027,Amajari,RR,2001,1818.33,1399.5,31.89,21.66,81.38,0.67,1.12,6417.2
1400027,Amajari,RR,2002,2462.42,1421.71,32.3,22.09,79.52,0.75,1.16,6358.92
1400027,Amajari,RR,2003,1912.02,1423.45,32.4,21.81,79.04,0.77,1.16,6357.04
1400027,Amajari,RR,2004,2025.41,1389.93,32.21,21.7,79.87,0.73,1.18,6217.64
1400027,Amajari,RR,2005,2409.73,1358.5,32.09,22.27,80.48,0.71,0.94,6200.26
1400027,Amajari,RR,2006,2297.94,1379.64,31.8,22.22,80.67,0.7,0.85,6410.76
1400027,Amajari,RR,2007,2428.43,1387.83,32.0,22.05,79.81,0.73,0.93,6361.44
1400027,Amajari,RR,2008,2412.4,1363.72,31.6,21.87,81.41,0.66,0.92,6347.56
1400027,Amajari,RR,2009,1563.9,1424.68,32.25,22.35,81.08,0.7,0.8,6675.45
1400027,Amajari,RR,2010,2240.96,1350.41,31.86,22.47,81.2,0.69,0.64,6348.71
1400027,Amajari,RR,2011,2472.54,1387.98,31.63,22.36,81.63,0.66,0.79,6540.67
1400027,Amajari,RR,2012,1890.68,1409.63,31.95,22.36,80.37,0.72,0.8,6589.0
1400027,Amajari,RR,2013,1902.21,1391.72,32.0,22.55,80.1,0.73,0.82,6425.21
1400027,Amajari,RR,2014,1738.87,1404.92,32.41,22.66,78.54,0.8,0.83,6418.3
1400027,Amajari,RR,2015,1725.54,1475.14,32.86,23.0,75.61,0.94,0.96,6551.04
1400027,Amajari,RR,2016,1990.9,1424.68,32.69,23.05,77.88,0.85,0.92,6298.86
1400027,Amajari,RR,2017,2783.18,1415.41,32.32,22.73,78.66,0.8,0.89,6429.14
1400027,Amajari,RR,2018,2118.99,1404.1,32.53,22.53,78.07,0.82,0.91,6315.25
1400027,Amajari,RR,2019,2096.36,1451.39,32.46,22.74,76.53,0.89,0.92,6505.01
1400027,Amajari,RR,2020,2366.96,1347.55,32.6,22.74,78.71,0.8,0.82,6044.38
1400027,Amajari,RR,2021,3458.08,1159.76,31.99,22.62,82.02,0.66,0.67,5214.07
1400027,Amajari,RR,2022,2882.06,1279.22,32.04,22.3,81.82,0.66,0.73,5903.21
1400027,Amajari,RR,2023,2047.45,1406.82,33.53,22.77,75.65,0.95,0.86,6205.29
1400027,Amajari,RR,2024,241.32,367.53,35.77,23.96,64.65,1.49,1.26,1452.25
1400050,Alto Alegre,RR,2001,1896.35,1376.31,31.48,21.09,81.98,0.63,1.06,6401.81
1400050,Alto Alegre,RR,2002,2590.43,1400.16,31.84,21.55,80.18,0.71,1.11,6378.24
1400050,Alto Alegre,RR,2003,1704.93,1408.2,31.9,21.28,79.58,0.72,1.1,6415.32
1400050,Alto Alegre,RR,2004,1947.17,1373.5,31.72,21.14,80.33,0.69,1.12,6264.46
1400050,Alto Alegre,RR,2005,2405.31,1336.13,31.58,21.7,80.92,0.68,0.91,6184.71
1400050,Alto Alegre,RR,2006,2337.71,1354.76,31.25,21.66,81.18,0.66,0.83,6376.99
1400050,Alto Alegre,RR,2007,2422.63,1360.55,31.43,21.45,80.32,0.69,0.89,6336.46
1400050,Alto Alegre,RR,2008,2249.63,1338.44,30.99,21.28,81.84,0.62,0.89,6324.93
1400050,Alto Alegre,RR,2009,1717.7,1397.86,31.61,21.75,81.58,0.65,0.79,6641.52
1400050,Alto Alegre,RR,2010,2172.78,1334.24,31.29,21.96,81.53,0.65,0.66,6335.2
1400050,Alto Alegre,RR,2011,2460.67,1363.41,31.04,21.87,82.06,0.63,0.78,6505.01
1400050,Alto Alegre,RR,2012,1650.39,1380.92,31.35,21.84,80.95,0.67,0.78,6543.28
1400050,Alto Alegre,RR,2013,2175.22,1365.77,31.44,22.03,80.74,0.69,0.8,6390.81
1400050,Alto Alegre,RR,2014,1716.66,1374.42,31.84,22.14,79.41,0.74,0.79,6373.06
1400050,Alto Alegre,RR,2015,1544.88,1443.51,32.34,22.47,76.35,0.88,0.92,6514.44
1400050,Alto Alegre,RR,2016,3008.48,1395.76,32.22,22.54,78.53,0.8,0.89,6256.44
1400050,Alto Alegre,RR,2017,2956.12,1388.7,31.77,22.2,79.25,0.75,0.87,6395.68
1400050,Alto Alegre,RR,2018,1971.14,1377.08,31.98,22.01,78.87,0.77,0.87,6297.66
1400050,Alto Alegre,RR,2019,2043.74,1421.15,31.91,22.25,77.4,0.83,0.88,6488.36
1400050,Alto Alegre,RR,2020,2310.44,1325.9,32.06,22.22,79.56,0.75,0.78,6048.78
1400050,Alto Alegre,RR,2021,4738.45,1157.0,31.37,22.11,82.18,0.63,0.64,5293.72
1400050,Alto Alegre,RR,2022,2935.88,1265.91,31.47,21.83,81.92,0.64,0.69,5921.59
1400050,Alto Alegre,RR,2023,2139.34,1382.25,32.9,22.27,76.26,0.89,0.82,6200.58
1400050,Alto Alegre,RR,2024,270.27,357.65,35.15,23.41,65.77,1.4,1.19,1449.58
1400100,Boa Vista,RR,2001,1110.8,1468.13,33.05,23.47,80.17,0.78,1.15,6515.07
1400100,Boa Vista,RR,2002,1388.84,1492.39,33.55,23.77,78.25,0.87,1.2,6448.62
1400100,Boa Vista,RR,2003,1538.47,1487.02,33.76,23.41,78.17,0.87,1.18,6417.67
1400100,Boa Vista,RR,2004,1708.89,1454.62,33.56,23.43,79.32,0.82,1.2,6307.81
