CD_MUN,NM_MUN,UF,year,month,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1400027,Amajari,RR,2001,1,35.94,115.11,30.89,21.07,79.04,0.7,1.35,529.81
1400027,Amajari,RR,2001,2,8.81,108.25,31.83,21.45,76.2,0.84,1.45,465.89
1400027,Amajari,RR,2001,3,22.01,130.0,32.41,21.67,76.15,0.86,1.33,571.44
1400027,Amajari,RR,2001,4,149.91,114.95,32.23,21.99,79.4,0.75,1.28,501.59
1400027,Amajari,RR,2001,5,334.59,99.29,30.52,21.34,88.47,0.39,1.03,473.26
1400027,Amajari,RR,2001,6,289.62,84.76,29.23,20.46,89.92,0.32,0.75,415.98
1400027,Amajari,RR,2001,7,271.34,105.28,30.7,20.83,88.42,0.39,0.9,515.52
1400027,Amajari,RR,2001,8,212.91,117.1,31.45,21.15,85.41,0.51,0.75,565.0
1400027,Amajari,RR,2001,9,170.72,128.67,32.51,21.89,81.04,0.7,0.99,603.7
1400027,Amajari,RR,2001,10,68.96,138.85,34.1,22.71,77.32,0.89,1.05,624.22
1400027,Amajari,RR,2001,11,95.19,139.01,33.96,22.69,75.17,0.96,1.25,626.01
1400027,Amajari,RR,2001,12,158.34,118.23,32.82,22.72,79.53,0.77,1.28,524.78
1400027,Amajari,RR,2002,1,64.39,132.61,33.08,22.1,73.58,0.98,1.39,581.96
1400027,Amajari,RR,2002,2,31.41,111.88,32.6,22.54,73.09,1.0,1.51,458.04
1400027,Amajari,RR,2002,3,192.65,126.42,32.9,22.6,77.51,0.85,1.27,548.5
1400027,Amajari,RR,2002,4,296.61,103.18,31.46,21.89,83.77,0.58,0.95,470.49
1400027,Amajari,RR,2002,5,436.85,93.46,30.24,21.89,87.38,0.43,1.0,433.67
1400027,Amajari,RR,2002,6,463.46,88.75,29.72,21.0,89.83,0.33,0.69,434.52
1400027,Amajari,RR,2002,7,277.21,111.32,31.17,21.64,85.75,0.5,0.89,537.35
1400027,Amajari,RR,2002,8,235.5,122.07,31.71,21.72,82.93,0.61,0.98,576.62
1400027,Amajari,RR,2002,9,111.03,136.5,34.09,22.28,76.02,0.92,1.06,611.55
1400027,Amajari,RR,2002,10,152.69,139.93,34.34,22.62,73.33,1.04,1.32,596.89
1400027,Amajari,RR,2002,11,165.32,128.0,33.87,22.46,75.96,0.92,1.3,559.71
1400027,Amajari,RR,2002,12,35.3,127.59,32.48,22.39,74.73,0.93,1.6,549.6
1400027,Amajari,RR,2003,1,20.13,142.59,33.18,22.04,70.98,1.08,1.46,629.56
1400027,Amajari,RR,2003,2,10.79,124.32,33.52,22.33,69.21,1.16,1.46,511.76
1400027,Amajari,RR,2003,3,114.25,130.97,33.6,22.54,70.74,1.12,1.38,526.83
1400027,Amajari,RR,2003,4,152.44,111.22,32.47,22.34,79.03,0.78,1.06,485.73
1400027,Amajari,RR,2003,5,300.21,93.15,30.11,21.63,86.63,0.45,0.81,435.09
1400027,Amajari,RR,2003,6,294.22,95.81,31.22,21.43,85.41,0.5,0.73,452.42
1400027,Amajari,RR,2003,7,291.65,100.06,30.83,20.8,85.03,0.5,0.68,480.96
1400027,Amajari,RR,2003,8,253.11,120.53,32.05,21.26,82.25,0.63,0.98,567.36
1400027,Amajari,RR,2003,9,205.28,124.83,32.43,21.41,81.68,0.66,1.14,580.45
1400027,Amajari,RR,2003,10,143.66,124.32,32.95,21.93,81.04,0.7,1.11,564.37
1400027,Amajari,RR,2003,11,88.48,121.61,33.3,21.8,79.75,0.75,1.23,551.08
1400027,Amajari,RR,2003,12,37.79,134.04,33.21,22.3,76.16,0.89,1.83,571.44
1400027,Amajari,RR,2004,1,86.07,128.11,32.91,21.58,74.92,0.91,1.4,560.29
1400027,Amajari,RR,2004,2,71.59,116.64,33.0,21.6,74.25,0.94,1.55,477.14
1400027,Amajari,RR,2004,3,92.36,128.31,32.83,21.92,75.13,0.91,1.58,532.01
1400027,Amajari,RR,2004,4,217.52,110.81,32.25,21.57,80.33,0.71,1.22,485.41
1400027,Amajari,RR,2004,5,435.8,90.85,30.44,20.98,87.07,0.43,0.98,420.95
1400027,Amajari,RR,2004,6,348.57,94.63,30.54,20.35,85.98,0.46,0.98,451.95
1400027,Amajari,RR,2004,7,185.85,103.39,30.49,20.18,85.85,0.46,0.97,501.69
1400027,Amajari,RR,2004,8,174.62,118.38,31.5,21.73,82.7,0.61,0.9,562.49
1400027,Amajari,RR,2004,9,145.42,117.67,32.37,22.1,81.42,0.68,0.89,545.26
1400027,Amajari,RR,2004,10,163.39,127.03,32.74,22.16,79.5,0.76,1.01,581.49
1400027,Amajari,RR,2004,11,29.45,131.94,34.25,23.11,74.16,1.02,1.13,582.02
1400027,Amajari,RR,2004,12,74.77,122.17,33.28,23.08,76.89,0.89,1.51,516.93
1400027,Amajari,RR,2005,1,159.75,124.68,33.04,22.8,77.32,0.86,1.14,558.87
1400027,Amajari,RR,2005,2,160.68,101.29,31.95,22.41,78.33,0.79,1.16,440.6
1400027,Amajari,RR,2005,3,88.94,119.41,32.76,22.91,76.07,0.9,1.25,501.69
1400027,Amajari,RR,2005,4,255.53,95.4,31.0,22.04,82.69,0.61,0.98,421.79
1400027,Amajari,RR,2005,5,401.95,96.17,30.38,21.35,84.15,0.53,0.8,450.95
1400027,Amajari,RR,2005,6,211.88,100.21,31.31,21.68,82.73,0.6,0.72,473.47
1400027,Amajari,RR,2005,7,489.52,101.08,30.56,21.34,84.47,0.52,0.59,489.75
1400027,Amajari,RR,2005,8,183.15,119.05,31.71,21.92,82.13,0.63,0.81,563.43
1400027,Amajari,RR,2005,9,59.22,131.59,33.0,22.38,78.81,0.79,0.91,611.4
1400027,Amajari,RR,2005,10,84.12,137.52,33.74,22.75,77.79,0.86,0.98,625.63
1400027,Amajari,RR,2005,11,82.35,115.67,32.94,23.02,80.12,0.76,0.91,526.57
1400027,Amajari,RR,2005,12,232.66,116.44,32.66,22.65,81.08,0.7,1.0,536.09
1400027,Amajari,RR,2006,1,309.19,111.01,31.25,22.18,82.79,0.61,0.86,527.3
1400027,Amajari,RR,2006,2,82.32,108.09,31.71,22.44,78.23,0.78,0.88,501.39
1400027,Amajari,RR,2006,3,85.76,134.66,32.65,22.68,74.88,0.94,1.22,594.53
1400027,Amajari,RR,2006,4,153.33,116.95,32.35,22.52,77.95,0.82,0.94,522.8
1400027,Amajari,RR,2006,5,433.93,85.93,29.52,21.83,88.91,0.37,0.55,409.01
1400027,Amajari,RR,2006,6,351.17,93.25,30.3,21.68,86.29,0.46,0.67,448.18
1400027,Amajari,RR,2006,7,326.19,95.86,30.2,21.45,86.83,0.44,0.57,464.78
1400027,Amajari,RR,2006,8,175.02,123.76,32.02,22.12,82.14,0.64,0.74,590.92
1400027,Amajari,RR,2006,9,125.26,131.43,33.06,22.31,78.33,0.81,0.81,616.42
1400027,Amajari,RR,2006,10,90.87,141.62,33.89,22.89,76.23,0.93,1.03,642.29
1400027,Amajari,RR,2006,11,91.62,112.96,32.08,22.24,78.73,0.77,0.8,527.67
1400027,Amajari,RR,2006,12,73.29,124.11,32.53,22.31,76.4,0.86,1.17,565.47
1400027,Amajari,RR,2007,1,42.07,122.37,32.33,22.58,74.97,0.92,1.5,521.01
1400027,Amajari,RR,2007,2,24.85,139.93,33.96,22.24,67.07,1.25,1.41,603.5
1400027,Amajari,RR,2007,3,128.76,126.16,32.85,22.24,75.73,0.91,1.05,555.89
1400027,Amajari,RR,2007,4,272.04,109.37,31.52,22.34,81.84,0.65,0.89,504.26
1400027,Amajari,RR,2007,5,277.81,95.76,30.35,21.98,86.44,0.46,0.6,454.88
1400027,Amajari,RR,2007,6,405.98,89.67,30.19,21.5,85.72,0.48,0.64,428.55
1400027,Amajari,RR,2007,7,330.5,106.2,31.29,21.92,83.36,0.59,0.66,504.05
1400027,Amajari,RR,2007,8,277.17,106.05,30.99,21.81,85.08,0.52,0.68,502.79
1400027,Amajari,RR,2007,9,132.46,122.17,32.52,22.09,81.46,0.68,0.74,575.27
1400027,Amajari,RR,2007,10,123.37,126.78,32.81,21.82,78.8,0.77,0.9,587.78
1400027,Amajari,RR,2007,11,146.57,133.79,33.57,22.34,74.87,0.95,1.1,613.44
1400027,Amajari,RR,2007,12,266.84,109.58,31.8,21.72,81.29,0.66,0.98,510.02
1400027,Amajari,RR,2008,1,60.71,125.04,31.71,21.67,76.07,0.84,1.28,571.44
1400027,Amajari,RR,2008,2,216.85,113.47,31.53,21.96,78.02,0.78,1.17,514.22
1400027,Amajari,RR,2008,3,89.69,127.44,31.93,21.58,75.45,0.87,1.16,569.24
1400027,Amajari,RR,2008,4,135.12,120.94,32.31,22.23,77.52,0.82,1.15,538.04
1400027,Amajari,RR,2008,5,403.47,96.89,30.33,21.69,85.75,0.48,0.8,457.24
1400027,Amajari,RR,2008,6,262.7,89.46,29.92,21.48,86.6,0.44,0.66,431.22
1400027,Amajari,RR,2008,7,311.47,99.91,30.34,20.95,86.56,0.45,0.7,487.24
1400027,Amajari,RR,2008,8,224.92,119.66,31.99,21.73,82.19,0.63,0.72,570.65
1400027,Amajari,RR,2008,9,127.18,125.91,32.62,22.09,81.77,0.67,0.87,589.56
1400027,Amajari,RR,2008,10,141.21,128.67,32.84,22.23,80.54,0.72,0.84,602.86
1400027,Amajari,RR,2008,11,138.65,115.0,32.53,22.57,80.94,0.71,0.9,535.05
1400027,Amajari,RR,2008,12,300.42,101.34,31.12,22.24,85.29,0.52,0.79,480.8
1400027,Amajari,RR,2009,1,133.85,106.3,30.53,22.06,84.11,0.55,1.02,505.93
1400027,Amajari,RR,2009,2,86.68,109.37,31.25,22.03,79.64,0.71,1.13,506.89
1400027,Amajari,RR,2009,3,194.13,121.76,32.13,22.41,80.47,0.71,0.98,558.09
1400027,Amajari,RR,2009,4,133.46,119.05,32.11,22.46,80.52,0.71,0.93,549.82
1400027,Amajari,RR,2009,5,52.08,120.58,32.32,22.5,79.95,0.74,0.96,555.26
1400027,Amajari,RR,2009,6,296.28,88.24,30.28,21.67,86.68,0.45,0.59,419.12
1400027,Amajari,RR,2009,7,295.41,109.48,31.28,21.52,85.7,0.5,0.42,539.39
1400027,Amajari,RR,2009,8,119.67,125.09,32.51,22.21,83.39,0.61,0.52,602.7
1400027,Amajari,RR,2009,9,32.86,137.93,34.1,22.67,77.56,0.87,0.66,645.33
1400027,Amajari,RR,2009,10,71.1,136.35,34.22,22.94,78.96,0.83,0.74,627.52
1400027,Amajari,RR,2009,11,108.58,132.1,33.75,23.01,78.81,0.82,0.78,621.45
1400027,Amajari,RR,2009,12,39.79,118.43,32.47,22.65,77.03,0.85,0.9,543.95
1400027,Amajari,RR,2010,1,33.49,122.12,32.45,22.22,75.06,0.91,0.89,565.0
1400027,Amajari,RR,2010,2,30.65,105.38,32.92,22.81,77.12,0.86,0.88,468.72
1400027,Amajari,RR,2010,3,48.29,131.94,33.4,23.27,77.97,0.85,0.78,599.71
1400027,Amajari,RR,2010,4,268.32,93.46,31.11,22.72,86.36,0.49,0.38,437.03
1400027,Amajari,RR,2010,5,449.27,92.64,30.46,22.67,87.76,0.43,0.41,438.23
1400027,Amajari,RR,2010,6,374.22,100.01,31.12,22.13,86.27,0.48,0.42,486.36
1400027,Amajari,RR,2010,7,258.16,100.83,30.47,21.64,86.26,0.47,0.46,493.05
1400027,Amajari,RR,2010,8,167.65,109.94,31.26,21.57,83.22,0.58,0.49,529.81
1400027,Amajari,RR,2010,9,135.73,130.51,32.6,22.67,77.95,0.82,0.68,620.66
1400027,Amajari,RR,2010,10,54.35,135.83,33.04,23.05,74.99,0.96,0.81,628.62
1400027,Amajari,RR,2010,11,239.26,115.46,32.07,22.54,81.01,0.7,0.74,549.35
1400027,Amajari,RR,2010,12,181.58,112.29,31.53,22.38,80.21,0.71,0.79,532.17
1400027,Amajari,RR,2011,1,158.03,120.69,31.26,22.15,76.73,0.82,1.13,559.81
1400027,Amajari,RR,2011,2,152.87,110.65,32.04,22.75,78.33,0.79,1.03,502.49
1400027,Amajari,RR,2011,3,200.18,112.29,30.78,22.24,81.85,0.64,0.97,517.4
1400027,Amajari,RR,2011,4,212.8,113.98,31.72,22.58,80.64,0.7,0.88,524.84
1400027,Amajari,RR,2011,5,417.42,88.59,29.67,22.14,88.32,0.4,0.5,420.32
1400027,Amajari,RR,2011,6,306.98,96.43,30.39,22.11,86.99,0.45,0.49,469.55
1400027,Amajari,RR,2011,7,208.06,111.47,30.95,22.03,85.53,0.5,0.54,546.93
1400027,Amajari,RR,2011,8,180.91,131.07,32.18,22.01,82.13,0.65,0.69,634.59
1400027,Amajari,RR,2011,9,101.35,128.87,32.9,22.45,80.58,0.72,0.68,611.71
1400027,Amajari,RR,2011,10,200.55,129.28,32.74,22.48,80.18,0.74,0.87,601.91
1400027,Amajari,RR,2011,11,252.27,118.84,32.39,22.73,80.63,0.72,0.77,563.33
1400027,Amajari,RR,2011,12,81.14,125.8,32.62,22.75,77.36,0.84,0.96,587.78
1400027,Amajari,RR,2012,1,126.99,123.86,32.1,22.59,76.9,0.84,1.18,562.64
1400027,Amajari,RR,2012,2,142.14,112.39,31.46,22.3,77.67,0.8,1.15,508.56
1400027,Amajari,RR,2012,3,134.83,120.69,31.85,22.48,77.61,0.81,1.02,539.39
1400027,Amajari,RR,2012,4,255.46,101.65,30.74,22.29,84.59,0.54,0.66,477.09
1400027,Amajari,RR,2012,5,250.29,106.46,30.63,22.08,84.66,0.53,0.61,511.9
1400027,Amajari,RR,2012,6,194.57,107.63,30.97,22.2,83.43,0.58,0.66,523.43
1400027,Amajari,RR,2012,7,227.81,99.6,30.19,21.72,86.21,0.47,0.49,485.51
1400027,Amajari,RR,2012,8,163.55,112.91,31.11,21.77,84.14,0.55,0.6,545.52
1400027,Amajari,RR,2012,9,53.44,131.18,33.21,22.23,78.69,0.8,0.74,617.05
1400027,Amajari,RR,2012,10,92.44,141.62,34.19,23.05,76.28,0.93,0.83,651.24
