CD_MUN,NM_MUN,UF,year,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1700251,Abreulândia,TO,2001,1915.97,1489.11,33.16,21.56,76.6,0.87,1.21,6637.75
1700251,Abreulândia,TO,2002,1902.43,1554.73,33.59,21.7,73.3,1.01,1.2,6899.93
1700251,Abreulândia,TO,2003,2014.86,1534.67,33.54,21.98,72.0,1.06,1.16,6758.24
1700251,Abreulândia,TO,2004,1966.97,1516.55,33.5,22.12,71.26,1.1,1.13,6631.57
1700251,Abreulândia,TO,2005,1905.55,1565.27,33.64,22.49,69.05,1.2,1.16,6730.43
1700251,Abreulândia,TO,2006,1778.34,1530.83,33.15,22.27,71.11,1.1,1.15,6689.28
1700251,Abreulândia,TO,2007,1606.57,1608.88,33.92,22.15,67.4,1.26,1.18,6826.25
1700251,Abreulândia,TO,2008,2019.22,1500.73,33.32,21.49,70.93,1.09,1.03,6646.18
1700251,Abreulândia,TO,2009,2205.42,1437.06,32.94,21.89,75.32,0.92,0.97,6518.05
1700251,Abreulândia,TO,2010,1479.68,1567.83,34.3,21.93,68.99,1.2,1.08,6752.9
1700251,Abreulândia,TO,2011,1959.32,1510.76,33.42,21.57,71.21,1.08,1.03,6737.82
1700251,Abreulândia,TO,2012,1766.75,1520.23,33.59,21.43,70.95,1.09,1.04,6712.94
1700251,Abreulândia,TO,2013,2007.7,1499.5,33.14,21.08,73.29,0.97,1.11,6723.68
1700251,Abreulândia,TO,2014,1777.18,1482.92,33.22,20.82,73.06,0.98,1.02,6710.64
1700251,Abreulândia,TO,2015,1507.42,1510.41,33.74,20.85,71.56,1.05,1.04,6680.16
1700251,Abreulândia,TO,2016,1489.96,1574.13,34.13,21.35,72.07,1.06,1.09,6965.53
1700251,Abreulândia,TO,2017,1625.28,1569.47,33.72,20.59,70.68,1.07,1.14,6964.02
1700251,Abreulândia,TO,2018,1963.11,1476.37,33.13,20.8,73.51,0.95,1.03,6700.43
1700251,Abreulândia,TO,2019,1657.52,1506.67,33.69,20.84,73.43,0.97,1.1,6710.01
1700251,Abreulândia,TO,2020,1803.26,1525.96,33.8,21.26,71.0,1.08,1.1,6671.62
1700251,Abreulândia,TO,2021,2119.87,1408.91,33.1,21.07,74.9,0.91,1.12,6148.11
1700251,Abreulândia,TO,2022,1774.44,1460.5,33.42,21.1,73.78,0.97,1.09,6387.83
1700251,Abreulândia,TO,2023,1710.49,1533.44,34.1,21.3,74.88,0.94,1.06,6835.84
1700251,Abreulândia,TO,2024,694.12,315.53,32.3,22.94,83.48,0.62,1.13,1425.24
1700301,Aguiarnópolis,TO,2001,1413.81,1430.46,32.51,21.31,73.03,0.97,0.83,6608.22
1700301,Aguiarnópolis,TO,2002,1355.3,1457.84,32.77,21.82,72.33,1.02,0.83,6757.92
1700301,Aguiarnópolis,TO,2003,1471.05,1450.11,32.7,21.68,73.13,0.98,0.9,6659.59
1700301,Aguiarnópolis,TO,2004,1731.81,1440.7,32.82,21.7,73.63,0.97,0.86,6605.96
1700301,Aguiarnópolis,TO,2005,1512.13,1470.02,33.19,22.03,70.74,1.1,0.86,6634.92
1700301,Aguiarnópolis,TO,2006,1559.55,1466.65,32.68,21.81,72.33,1.02,0.84,6742.06
