CD_MUN,NM_MUN,UF,year,month,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1700251,Abreulândia,TO,2001,1,159.27,120.89,31.75,22.06,83.27,0.6,1.14,551.18
1700251,Abreulândia,TO,2001,2,250.8,109.27,31.62,21.83,84.96,0.53,1.21,506.11
1700251,Abreulândia,TO,2001,3,282.33,110.55,31.53,21.98,86.74,0.47,1.08,513.0
1700251,Abreulândia,TO,2001,4,121.46,113.47,32.37,22.03,82.91,0.62,1.07,532.38
1700251,Abreulândia,TO,2001,5,66.72,118.48,33.66,22.18,79.74,0.77,1.07,550.23
1700251,Abreulândia,TO,2001,6,15.59,117.87,33.89,20.47,70.0,1.08,1.15,542.75
1700251,Abreulândia,TO,2001,7,0.3,141.93,35.0,19.47,62.48,1.35,1.36,629.4
1700251,Abreulândia,TO,2001,8,3.5,166.8,35.55,19.79,54.19,1.7,1.68,673.23
1700251,Abreulândia,TO,2001,9,54.82,140.39,35.5,22.42,65.2,1.41,1.26,572.6
1700251,Abreulândia,TO,2001,10,243.01,120.12,32.86,22.0,81.31,0.69,1.25,528.55
1700251,Abreulândia,TO,2001,11,333.7,115.26,32.41,22.22,83.2,0.62,1.13,516.83
1700251,Abreulândia,TO,2001,12,384.49,114.08,31.69,22.27,85.84,0.51,1.16,521.49
1700251,Abreulândia,TO,2002,1,370.17,109.83,30.68,22.14,87.27,0.45,1.28,510.8
1700251,Abreulândia,TO,2002,2,273.64,114.8,32.34,22.52,82.2,0.67,1.12,521.81
1700251,Abreulândia,TO,2002,3,285.87,114.9,31.8,22.14,84.06,0.58,1.04,529.65
1700251,Abreulândia,TO,2002,4,170.43,119.51,33.06,22.13,79.07,0.78,1.05,552.65
1700251,Abreulândia,TO,2002,5,75.04,126.37,33.81,21.96,74.87,0.94,1.13,583.06
1700251,Abreulândia,TO,2002,6,0.05,127.19,34.25,20.12,64.75,1.27,1.29,571.5
1700251,Abreulândia,TO,2002,7,3.79,136.7,35.35,20.4,60.45,1.48,1.14,611.34
1700251,Abreulândia,TO,2002,8,1.54,166.39,36.55,20.17,51.91,1.86,1.38,694.44
1700251,Abreulândia,TO,2002,9,97.9,140.8,35.33,22.12,62.83,1.49,1.25,567.26
1700251,Abreulândia,TO,2002,10,133.71,140.85,34.06,22.0,73.65,1.01,1.18,615.27
1700251,Abreulândia,TO,2002,11,158.22,140.13,33.83,22.01,76.99,0.88,1.27,621.92
1700251,Abreulândia,TO,2002,12,332.07,117.26,31.92,22.69,82.12,0.66,1.26,520.23
1700251,Abreulândia,TO,2003,1,343.17,124.47,32.41,22.83,81.13,0.71,1.12,556.36
1700251,Abreulândia,TO,2003,2,267.02,107.38,31.82,22.53,81.79,0.67,1.08,485.37
1700251,Abreulândia,TO,2003,3,304.54,110.04,31.45,22.39,83.72,0.58,0.99,504.05
1700251,Abreulândia,TO,2003,4,153.28,121.25,33.08,22.78,79.48,0.78,1.02,561.44
1700251,Abreulândia,TO,2003,5,111.36,120.28,33.11,22.4,74.82,0.95,1.13,550.23
1700251,Abreulândia,TO,2003,6,1.48,124.57,34.4,20.19,63.87,1.31,1.14,571.65
1700251,Abreulândia,TO,2003,7,0.0,147.2,34.96,19.11,54.61,1.62,1.38,642.44
1700251,Abreulândia,TO,2003,8,45.05,147.35,36.08,21.07,55.45,1.75,1.22,614.64
1700251,Abreulândia,TO,2003,9,36.76,153.95,36.23,22.69,58.53,1.71,1.25,631.03
1700251,Abreulândia,TO,2003,10,186.9,131.69,33.93,22.89,72.12,1.09,1.2,550.7
1700251,Abreulândia,TO,2003,11,338.17,118.59,32.27,22.44,79.62,0.76,1.16,525.63
1700251,Abreulândia,TO,2003,12,227.14,127.9,32.7,22.45,79.64,0.76,1.21,564.68
1700251,Abreulândia,TO,2004,1,373.78,103.08,30.73,22.55,84.7,0.54,1.19,457.39
1700251,Abreulândia,TO,2004,2,362.77,98.17,30.72,22.59,84.44,0.55,1.13,441.8
1700251,Abreulândia,TO,2004,3,307.71,106.87,31.6,22.89,82.93,0.63,1.03,476.24
1700251,Abreulândia,TO,2004,4,191.41,116.59,32.93,22.95,78.77,0.81,1.03,529.71
1700251,Abreulândia,TO,2004,5,20.07,132.3,34.38,22.69,70.21,1.16,1.07,603.64
1700251,Abreulândia,TO,2004,6,5.43,126.57,34.18,20.52,62.51,1.36,1.27,562.39
1700251,Abreulândia,TO,2004,7,0.73,141.77,34.83,19.99,57.33,1.55,1.27,625.79
1700251,Abreulândia,TO,2004,8,22.9,156.26,36.34,20.61,52.15,1.86,1.26,652.97
1700251,Abreulândia,TO,2004,9,16.05,157.94,36.73,22.37,53.82,1.91,1.27,630.88
1700251,Abreulândia,TO,2004,10,193.73,129.64,33.71,22.78,73.42,1.04,1.03,555.57
1700251,Abreulândia,TO,2004,11,264.03,125.14,33.04,22.8,77.15,0.88,1.04,553.27
1700251,Abreulândia,TO,2004,12,208.36,122.22,32.66,22.79,78.09,0.83,0.96,541.91
1700251,Abreulândia,TO,2005,1,264.69,119.97,32.28,22.98,80.56,0.73,1.03,532.48
1700251,Abreulândia,TO,2005,2,308.92,111.17,32.21,23.16,80.86,0.72,1.1,497.15
1700251,Abreulândia,TO,2005,3,376.9,109.17,31.4,22.92,83.32,0.61,0.98,494.94
1700251,Abreulândia,TO,2005,4,206.71,122.07,33.11,23.44,77.15,0.9,1.07,549.19
1700251,Abreulândia,TO,2005,5,59.58,121.86,32.6,22.55,71.65,1.06,1.19,548.19
1700251,Abreulândia,TO,2005,6,10.66,128.62,33.77,21.83,63.02,1.38,1.27,579.82
1700251,Abreulândia,TO,2005,7,0.0,146.38,34.73,19.62,53.85,1.67,1.37,634.43
1700251,Abreulândia,TO,2005,8,0.0,168.54,36.66,21.38,45.85,2.18,1.43,671.19
1700251,Abreulândia,TO,2005,9,56.03,161.17,36.83,23.08,51.34,2.1,1.38,611.55
1700251,Abreulândia,TO,2005,10,70.36,146.69,35.39,23.17,64.78,1.45,1.09,608.98
